inventory_id,product_id,quantity_on_hand,reorder_point,reorder_qty,last_updated_at,,,,,,,,,,
1,1,87,20,80,1/6/2025 0:00,,,,,,,,,,
2,2,2,41,82,1/6/2025 0:00,,,,,,,,,,
3,3,0,28,56,1/6/2025 0:00,,,,,,,,,,
4,4,139,24,48,1/6/2025 0:00,,,,,,,,,,
5,5,10,28,140,1/6/2025 0:00,,,,,,,,,,
6,6,81,24,72,1/6/2025 0:00,,,,,,,,,,
7,7,182,33,99,1/6/2025 0:00,,,,,,,,,,
8,8,43,16,32,1/6/2025 0:00,,,,,,,,,,
9,9,5,17,34,1/6/2025 0:00,,,,,,,,,,
10,10,41,24,48,1/6/2025 0:00,,,,,,,,,,
11,11,215,20,60,1/6/2025 0:00,,,,,,,,,,
12,12,189,16,64,1/6/2025 0:00,,,,,,,,,,
13,13,3,14,70,1/6/2025 0:00,,,,,,,,,,
14,14,216,20,80,1/6/2025 0:00,,,,,,,,,,
15,15,166,20,60,1/6/2025 0:00,,,,,,,,,,
16,16,165,33,165,1/6/2025 0:00,,,,,,,,,,
17,17,96,17,51,1/6/2025 0:00,,,,,,,,,,
18,18,0,28,56,1/6/2025 0:00,,,,,,,,,,
19,19,98,28,84,1/6/2025 0:00,,,,,,,,,,
20,20,213,28,84,1/6/2025 0:00,,,,,,,,,,
21,21,60,14,70,1/6/2025 0:00,,,,,,,,,,
22,22,2,16,64,1/6/2025 0:00,,,,,,,,,,
23,23,169,20,80,1/6/2025 0:00,,,,,,,,,,
24,24,300,33,66,1/6/2025 0:00,,,,,,,,,,
25,25,1,17,51,1/6/2025 0:00,,,,,,,,,,
26,26,46,28,140,1/6/2025 0:00,,,,,,,,,,
27,27,8,24,48,1/6/2025 0:00,,,,,,,,,,
28,28,314,33,132,1/6/2025 0:00,,,,,,,,,,
29,29,4,20,60,1/6/2025 0:00,,,,,,,,,,
30,30,77,24,48,1/6/2025 0:00,,,,,,,,,,
31,31,10,20,60,1/6/2025 0:00,,,,,,,,,,
32,32,51,24,48,1/6/2025 0:00,,,,,,,,,,
33,33,0,24,96,1/6/2025 0:00,,,,,,,,,,
34,34,79,41,82,1/6/2025 0:00,,,,,,,,,,
35,35,144,16,32,1/6/2025 0:00,,,,,,,,,,
36,36,62,28,140,1/6/2025 0:00,,,,,,,,,,
37,37,4,14,42,1/6/2025 0:00,,,,,,,,,,
38,38,89,24,96,1/6/2025 0:00,,,,,,,,,,
39,39,152,20,40,1/6/2025 0:00,,,,,,,,,,
40,40,46,28,56,1/6/2025 0:00,,,,,,,,,,
41,41,147,20,60,1/6/2025 0:00,,,,,,,,,,
42,42,10,14,42,1/6/2025 0:00,,,,,,,,,,
43,43,14,14,28,1/6/2025 0:00,,,,,,,,,,
44,44,392,41,123,1/6/2025 0:00,,,,,,,,,,
45,45,420,41,205,1/6/2025 0:00,,,,,,,,,,
46,46,7,33,99,1/6/2025 0:00,,,,,,,,,,
47,47,10,14,56,1/6/2025 0:00,,,,,,,,,,
48,48,269,20,40,1/6/2025 0:00,,,,,,,,,,
49,49,256,41,164,1/6/2025 0:00,,,,,,,,,,
50,50,47,28,84,1/6/2025 0:00,,,,,,,,,,
51,51,134,28,140,1/6/2025 0:00,,,,,,,,,,
52,52,286,41,82,1/6/2025 0:00,,,,,,,,,,
53,53,321,33,66,1/6/2025 0:00,,,,,,,,,,
54,54,16,17,51,1/6/2025 0:00,,,,,,,,,,
55,55,77,17,51,1/6/2025 0:00,,,,,,,,,,
56,56,0,41,205,1/6/2025 0:00,,,,,,,,,,
57,57,165,20,80,1/6/2025 0:00,,,,,,,,,,
58,58,162,28,84,1/6/2025 0:00,,,,,,,,,,
59,59,75,16,32,1/6/2025 0:00,,,,,,,,,,
60,60,0,16,48,1/6/2025 0:00,,,,,,,,,,
61,61,40,20,40,1/6/2025 0:00,,,,,,,,,,
62,62,150,20,40,1/6/2025 0:00,,,,,,,,,,
63,63,50,20,40,1/6/2025 0:00,,,,,,,,,,
64,64,84,14,56,1/6/2025 0:00,,,,,,,,,,
