sale_item_id,sale_id,product_id,line_number,base_unit_price,sale_unit_price,quantity,line_base_amount,line_sale_amount,line_discount_amount,tax_rate_pct,tax_amount,promotion_code,created_at
1,1,76,1,52.38,52.38,2,104.76,104.76,0,8,8.38,,15/9/2024 13:15
2,1,143,2,17.09,14.53,1,17.09,14.53,2.56,8,1.16,MEMBER15,15/9/2024 13:15
3,1,8,3,18.08,18.08,2,36.16,36.16,0,8,2.89,,15/9/2024 13:15
4,1,130,4,41.12,41.12,2,82.24,82.24,0,8,6.58,,15/9/2024 13:15
5,2,31,1,28.96,27.51,1,28.96,27.51,1.45,8,2.2,BULK5,30/4/2024 10:49
6,2,20,2,26.18,26.18,1,26.18,26.18,0,8,2.09,,30/4/2024 10:49
7,2,58,3,16.74,15.9,4,66.96,63.6,3.36,8,5.09,BULK5,30/4/2024 10:49
8,2,112,4,26.45,26.45,1,26.45,26.45,0,8,2.12,,30/4/2024 10:49
9,2,52,5,32.98,32.98,1,32.98,32.98,0,8,2.64,,30/4/2024 10:49
10,2,11,6,14.55,14.55,1,14.55,14.55,0,8,1.16,,30/4/2024 10:49
11,3,97,1,5.37,5.37,1,5.37,5.37,0,8,0.43,,28/4/2025 14:08
12,3,35,2,31.36,29.79,2,62.72,59.58,3.14,8,4.77,BULK5,28/4/2025 14:08
13,3,77,3,14.99,14.99,1,14.99,14.99,0,8,1.2,,28/4/2025 14:08
14,3,80,4,4.51,4.51,4,18.04,18.04,0,8,1.44,,28/4/2025 14:08
15,3,82,5,3.36,3.19,4,13.44,12.76,0.68,8,1.02,BULK5,28/4/2025 14:08
16,4,100,1,29.48,29.48,4,117.92,117.92,0,8,9.43,,1/1/2024 9:30
17,4,71,2,32.36,32.36,1,32.36,32.36,0,8,2.59,,1/1/2024 9:30
18,5,95,1,6.68,6.35,3,20.04,19.05,0.99,8,1.52,BULK5,24/9/2024 12:53
19,5,145,2,1.24,1.24,4,4.96,4.96,0,8,0.4,,24/9/2024 12:53
20,5,143,3,17.09,16.24,2,34.18,32.48,1.7,8,2.6,BULK5,24/9/2024 12:53
21,6,25,1,16.72,16.72,1,16.72,16.72,0,8,1.34,,15/4/2024 15:26
22,6,23,2,16.85,16.85,3,50.55,50.55,0,8,4.04,,15/4/2024 15:26
23,6,19,3,10.15,10.15,2,20.3,20.3,0,8,1.62,,15/4/2024 15:26
24,6,28,4,1.25,1.19,4,5,4.76,0.24,8,0.38,BULK5,15/4/2024 15:26
25,6,121,5,7.48,7.48,4,29.92,29.92,0,8,2.39,,15/4/2024 15:26
26,6,58,6,16.74,16.74,4,66.96,66.96,0,8,5.36,,15/4/2024 15:26
27,7,67,1,23.9,23.9,2,47.8,47.8,0,8,3.82,,17/10/2024 19:55
28,7,112,2,26.45,26.45,2,52.9,52.9,0,8,4.23,,17/10/2024 19:55
29,7,137,3,14.84,14.84,2,29.68,29.68,0,8,2.37,,17/10/2024 19:55
30,7,143,4,17.09,17.09,1,17.09,17.09,0,8,1.37,,17/10/2024 19:55
31,7,33,5,21.53,21.53,1,21.53,21.53,0,8,1.72,,17/10/2024 19:55
32,7,150,6,36.65,34.82,1,36.65,34.82,1.83,8,2.79,BULK5,17/10/2024 19:55
33,8,139,1,14.95,14.2,3,44.85,42.6,2.25,8,3.41,BULK5,28/2/2024 15:54
34,8,141,2,33.49,33.49,1,33.49,33.49,0,8,2.68,,28/2/2024 15:54
35,8,144,3,23.78,23.78,2,47.56,47.56,0,8,3.8,,28/2/2024 15:54
36,8,33,4,21.53,21.53,2,43.06,43.06,0,8,3.44,,28/2/2024 15:54
37,8,34,5,18.55,18.55,1,18.55,18.55,0,8,1.48,,28/2/2024 15:54
38,8,140,6,38.31,38.31,1,38.31,38.31,0,8,3.06,,28/2/2024 15:54
39,9,6,1,26.17,26.17,3,78.51,78.51,0,8,6.28,,2/2/2024 14:08
40,9,4,2,34.9,34.9,2,69.8,69.8,0,8,5.58,,2/2/2024 14:08
41,9,150,3,36.65,36.65,1,36.65,36.65,0,8,2.93,,2/2/2024 14:08
42,9,141,4,33.49,31.82,4,133.96,127.28,6.68,8,10.18,BULK5,2/2/2024 14:08
43,9,33,5,21.53,20.45,2,43.06,40.9,2.16,8,3.27,BULK5,2/2/2024 14:08
44,9,24,6,19.13,18.17,4,76.52,72.68,3.84,8,5.81,BULK5,2/2/2024 14:08
45,9,44,7,16.23,16.23,2,32.46,32.46,0,8,2.6,,2/2/2024 14:08
46,10,54,1,33.21,33.21,2,66.42,66.42,0,8,5.31,,8/4/2024 12:39
47,10,49,2,5.85,5.85,3,17.55,17.55,0,8,1.4,,8/4/2024 12:39
48,10,47,3,34.55,34.55,1,34.55,34.55,0,8,2.76,,8/4/2024 12:39
49,10,146,4,11.07,10.52,4,44.28,42.08,2.2,8,3.37,BULK5,8/4/2024 12:39
50,10,95,5,6.68,6.68,3,20.04,20.04,0,8,1.6,,8/4/2024 12:39
51,10,53,6,18.99,18.99,3,56.97,56.97,0,8,4.56,,8/4/2024 12:39
