txn_id,txn_number,store_id,txn_datetime,customer_id,payment_method,total_items,subtotal_amount,tax_amount,discount_amount,total_amount,created_at
1,TXN-000001,1,2024-09-15 13:15:12,491,CARD,7,240.25,19.01,2.56,256.7,2024-09-15 13:15:12
2,TXN-000002,1,2024-04-30 10:49:16,424,CARD,9,196.08,15.3,4.81,206.57,2024-04-30 10:49:16
3,TXN-000003,1,2025-04-28 14:08:49,242,CASH,12,114.56,8.86,3.82,119.6,2025-04-28 14:08:49
4,TXN-000004,1,2024-01-01 09:30:09,,CARD,5,150.28,12.02,0.0,162.3,2024-01-01 09:30:09
5,TXN-000005,1,2024-09-24 12:53:05,,CASH,9,59.18,4.52,2.69,61.01,2024-09-24 12:53:05
6,TXN-000006,1,2024-04-15 15:26:18,,CARD,18,189.45,15.13,0.24,204.34,2024-04-15 15:26:18
7,TXN-000007,1,2024-10-17 19:55:05,,CASH,9,205.65,16.3,1.83,220.12,2024-10-17 19:55:05
8,TXN-000008,1,2024-02-28 15:54:46,233,CARD,10,225.82,17.87,2.25,241.44,2024-02-28 15:54:46
9,TXN-000009,1,2024-02-02 14:08:02,291,CASH,18,470.96,36.65,12.68,494.93,2024-02-02 14:08:02
10,TXN-000010,1,2024-04-08 12:39:41,,CARD,17,284.03,22.54,2.2,304.37,2024-04-08 12:39:41
11,TXN-000011,1,2024-10-29 16:27:33,284,CASH,17,269.9,21.07,6.48,284.49,2024-10-29 16:27:33
12,TXN-000012,1,2024-03-19 14:58:23,,CARD,13,316.29,24.92,4.78,336.43,2024-03-19 14:58:23
13,TXN-000013,1,2024-02-06 21:59:30,184,CARD,6,155.56,12.44,0.0,168.0,2024-02-06 21:59:30
14,TXN-000014,1,2024-03-19 19:32:23,156,CARD,11,159.82,12.56,2.89,169.49,2024-03-19 19:32:23
15,TXN-000015,1,2025-01-27 17:37:29,,CARD,5,85.06,6.81,0.0,91.87,2025-01-27 17:37:29
16,TXN-000016,1,2025-01-09 17:14:57,,EWALLET,2,13.53,1.08,0.0,14.61,2025-01-09 17:14:57
17,TXN-000017,1,2025-03-12 12:31:45,255,CASH,4,106.86,8.55,0.0,115.41,2025-03-12 12:31:45
18,TXN-000018,1,2024-01-31 18:03:10,47,EWALLET,3,22.11,1.74,0.25,23.6,2024-01-31 18:03:10
19,TXN-000019,1,2025-04-24 09:59:23,149,CARD,8,145.97,11.68,0.0,157.65,2025-04-24 09:59:23
20,TXN-000020,1,2024-02-03 18:01:50,,CARD,12,231.59,18.05,6.04,243.6,2024-02-03 18:01:50
21,TXN-000021,1,2025-02-12 14:25:01,448,EWALLET,7,79.35,6.35,0.0,85.7,2025-02-12 14:25:01
22,TXN-000022,1,2024-05-21 20:34:04,269,CARD,3,51.51,4.12,0.0,55.63,2024-05-21 20:34:04
23,TXN-000023,1,2025-04-12 14:16:23,,CARD,21,456.43,34.74,22.02,469.15,2025-04-12 14:16:23
24,TXN-000024,1,2025-01-21 19:15:42,,CARD,15,321.01,25.34,4.35,342.0,2025-01-21 19:15:42
25,TXN-000025,1,2025-03-09 14:00:38,,EWALLET,7,121.89,9.76,0.0,131.65,2025-03-09 14:00:38
26,TXN-000026,1,2025-03-09 14:25:11,438,CARD,11,196.56,15.73,0.0,212.29,2025-03-09 14:25:11
27,TXN-000027,1,2024-12-22 12:49:15,51,CARD,15,119.09,9.32,2.54,125.87,2024-12-22 12:49:15
28,TXN-000028,1,2024-04-26 12:26:31,14,CARD,9,189.75,15.18,0.0,204.93,2024-04-26 12:26:31
29,TXN-000029,1,2025-03-26 15:20:06,454,CARD,13,213.39,16.92,1.77,228.54,2025-03-26 15:20:06
30,TXN-000030,1,2025-01-18 14:12:51,,CARD,16,410.78,31.58,15.96,426.4,2025-01-18 14:12:51
31,TXN-000031,1,2025-04-22 14:46:42,,CASH,4,46.82,3.6,1.9,48.52,2025-04-22 14:46:42
32,TXN-000032,1,2025-03-24 14:33:28,269,CARD,17,263.7,20.59,6.2,278.09,2025-03-24 14:33:28
33,TXN-000033,1,2024-06-16 08:45:54,,EWALLET,15,284.27,22.31,5.4,301.18,2024-06-16 08:45:54
34,TXN-000034,1,2024-09-21 15:15:31,94,CARD,21,380.38,28.97,18.36,390.99,2024-09-21 15:15:31
35,TXN-000035,1,2024-03-26 19:50:50,32,EWALLET,9,105.82,8.47,0.0,114.29,2024-03-26 19:50:50
36,TXN-000036,1,2025-04-09 13:48:14,209,CASH,10,138.43,11.02,0.66,148.79,2025-04-09 13:48:14
37,TXN-000037,1,2024-12-06 22:01:42,,CARD,14,203.29,16.27,0.0,219.56,2024-12-06 22:01:42
38,TXN-000038,1,2024-07-07 12:06:25,,CASH,11,231.46,17.23,16.16,232.53,2024-07-07 12:06:25
39,TXN-000039,1,2024-01-10 13:52:23,,CASH,7,185.17,14.82,0.0,199.99,2024-01-10 13:52:23
40,TXN-000040,1,2024-01-31 11:19:12,,CARD,7,168.16,13.32,1.57,179.91,2024-01-31 11:19:12
41,TXN-000041,1,2024-07-03 15:16:17,,EWALLET,13,225.59,17.93,1.46,242.06,2024-07-03 15:16:17
42,TXN-000042,1,2025-02-17 18:00:58,,EWALLET,10,168.65,13.19,3.84,178.0,2025-02-17 18:00:58
43,TXN-000043,1,2024-05-23 14:39:27,364,CARD,10,131.79,10.55,0.0,142.34,2024-05-23 14:39:27
44,TXN-000044,1,2024-01-03 11:35:07,206,CARD,4,111.4,8.91,0.0,120.31,2024-01-03 11:35:07
45,TXN-000045,1,2025-01-28 17:39:21,423,CARD,20,279.32,21.89,5.76,295.45,2025-01-28 17:39:21
46,TXN-000046,1,2025-05-25 19:34:52,161,CARD,22,366.09,27.7,19.95,373.84,2025-05-25 19:34:52
47,TXN-000047,1,2024-11-13 19:16:59,,CASH,13,348.63,27.21,8.56,367.28,2024-11-13 19:16:59
48,TXN-000048,1,2024-03-27 15:37:11,347,CARD,11,250.04,19.83,2.07,267.8,2024-03-27 15:37:11
49,TXN-000049,1,2024-02-17 09:05:16,127,CARD,6,150.59,11.78,3.38,158.99,2024-02-17 09:05:16
50,TXN-000050,1,2024-05-24 22:29:22,,CARD,6,58.27,4.63,0.37,62.53,2024-05-24 22:29:22
51,TXN-000051,1,2024-07-11 15:24:53,151,CARD,11,233.44,18.5,2.32,249.62,2024-07-11 15:24:53
52,TXN-000052,1,2024-06-11 10:20:52,61,CARD,7,147.09,11.77,0.0,158.86,2024-06-11 10:20:52
53,TXN-000053,1,2024-04-19 15:38:06,19,CARD,8,149.91,12.0,0.0,161.91,2024-04-19 15:38:06
54,TXN-000054,1,2024-06-13 13:01:54,218,CARD,6,87.68,7.02,0.0,94.7,2024-06-13 13:01:54
55,TXN-000055,1,2024-07-12 17:35:57,27,CARD,6,176.08,13.94,1.82,188.2,2024-07-12 17:35:57
56,TXN-000056,1,2025-05-30 18:57:53,45,CASH,2,71.46,5.43,3.57,73.32,2025-05-30 18:57:53
57,TXN-000057,1,2024-03-27 09:58:34,242,CASH,15,290.98,23.29,0.0,314.27,2024-03-27 09:58:34
58,TXN-000058,1,2024-09-06 09:19:14,,CARD,10,231.11,18.38,1.42,248.07,2024-09-06 09:19:14
59,TXN-000059,1,2024-05-30 15:18:35,,CASH,3,69.46,5.53,0.25,74.74,2024-05-30 15:18:35
60,TXN-000060,1,2024-02-08 17:37:49,359,CARD,7,115.52,9.17,0.92,123.77,2024-02-08 17:37:49
61,TXN-000061,1,2025-05-15 11:19:56,,CARD,16,332.01,26.37,2.36,356.02,2025-05-15 11:19:56
62,TXN-000062,1,2024-08-02 18:33:34,140,CARD,10,221.99,17.68,0.99,238.68,2024-08-02 18:33:34
63,TXN-000063,1,2024-05-17 13:58:05,467,CARD,10,196.07,15.68,0.0,211.75,2024-05-17 13:58:05
64,TXN-000064,1,2025-04-23 15:44:27,,CARD,15,249.62,19.73,3.16,266.19,2025-04-23 15:44:27
65,TXN-000065,1,2024-05-12 17:01:59,426,CARD,13,342.5,26.34,13.26,355.58,2024-05-12 17:01:59
66,TXN-000066,1,2024-11-27 16:27:26,419,CARD,13,266.22,21.03,3.36,283.89,2024-11-27 16:27:26
67,TXN-000067,1,2025-02-08 14:53:57,301,CASH,10,212.18,15.99,12.28,215.89,2025-02-08 14:53:57
68,TXN-000068,1,2024-08-08 09:51:55,408,CASH,10,159.09,12.69,0.6,171.18,2024-08-08 09:51:55
69,TXN-000069,1,2024-07-28 20:25:02,82,CARD,7,224.15,17.92,0.12,241.95,2024-07-28 20:25:02
70,TXN-000070,1,2024-06-10 12:17:39,,EWALLET,7,154.28,12.35,0.0,166.63,2024-06-10 12:17:39
71,TXN-000071,1,2025-05-21 14:02:07,384,CASH,11,287.62,23.02,0.0,310.64,2025-05-21 14:02:07
72,TXN-000072,1,2024-05-15 17:02:10,,CARD,13,340.09,27.21,0.0,367.3,2024-05-15 17:02:10
73,TXN-000073,1,2024-11-14 15:38:51,103,EWALLET,6,158.48,12.66,0.08,171.06,2024-11-14 15:38:51
74,TXN-000074,1,2025-03-18 15:23:23,,CARD,7,145.51,11.64,0.0,157.15,2025-03-18 15:23:23
75,TXN-000075,1,2024-08-22 14:21:07,94,CARD,5,79.5,6.36,0.0,85.86,2024-08-22 14:21:07
76,TXN-000076,1,2025-05-07 17:28:20,15,CASH,3,43.26,3.46,0.0,46.72,2025-05-07 17:28:20
77,TXN-000077,1,2025-04-30 15:54:32,77,CASH,14,262.68,20.92,1.14,282.46,2025-04-30 15:54:32
78,TXN-000078,1,2024-04-02 17:32:53,229,CARD,7,161.57,12.91,0.06,174.42,2024-04-02 17:32:53
79,TXN-000079,1,2024-12-17 08:23:01,,CARD,17,401.9,32.16,0.0,434.06,2024-12-17 08:23:01
80,TXN-000080,1,2024-06-02 20:06:44,152,CARD,8,221.05,17.68,0.0,238.73,2024-06-02 20:06:44
81,TXN-000081,1,2024-03-03 10:43:50,370,CARD,12,200.08,14.41,20.24,194.25,2024-03-03 10:43:50
82,TXN-000082,1,2024-08-19 16:46:34,192,CASH,13,244.06,19.33,2.5,260.89,2024-08-19 16:46:34
83,TXN-000083,1,2025-01-18 11:07:52,194,CARD,12,194.17,14.01,19.22,188.96,2025-01-18 11:07:52
84,TXN-000084,1,2024-08-26 12:06:51,,CARD,4,118.18,9.22,2.94,124.46,2024-08-26 12:06:51
85,TXN-000085,1,2024-07-22 16:08:15,41,CASH,18,229.06,18.13,2.32,244.87,2024-07-22 16:08:15
86,TXN-000086,1,2024-09-25 13:11:55,106,CARD,16,208.7,16.57,1.52,223.75,2024-09-25 13:11:55
87,TXN-000087,1,2024-07-18 17:30:28,230,CARD,7,154.93,12.3,1.11,166.12,2024-07-18 17:30:28
88,TXN-000088,1,2025-02-04 17:08:51,221,CASH,11,265.09,21.21,0.0,286.3,2025-02-04 17:08:51
89,TXN-000089,1,2024-11-26 21:50:58,,CASH,7,186.27,14.8,1.11,199.96,2024-11-26 21:50:58
90,TXN-000090,1,2024-11-02 14:17:00,,CARD,8,56.15,4.33,2.06,58.42,2024-11-02 14:17:00
91,TXN-000091,1,2024-11-06 12:01:48,151,CASH,14,151.02,11.96,1.5,161.48,2024-11-06 12:01:48
92,TXN-000092,1,2025-03-27 15:31:24,244,CASH,11,183.57,14.68,0.0,198.25,2025-03-27 15:31:24
93,TXN-000093,1,2024-04-27 14:08:12,,CARD,8,161.88,12.43,6.55,167.76,2024-04-27 14:08:12
94,TXN-000094,1,2024-09-11 12:58:26,143,CASH,8,192.28,15.38,0.0,207.66,2024-09-11 12:58:26
95,TXN-000095,1,2024-06-02 14:34:31,441,CARD,10,111.17,8.46,5.41,114.22,2024-06-02 14:34:31
96,TXN-000096,1,2024-12-15 16:17:46,,CASH,14,281.81,21.16,17.23,285.74,2024-12-15 16:17:46
97,TXN-000097,1,2024-06-08 17:29:13,403,CARD,20,299.5,23.77,2.26,321.01,2024-06-08 17:29:13
98,TXN-000098,1,2024-04-12 12:37:21,87,EWALLET,8,238.67,18.84,3.14,254.37,2024-04-12 12:37:21
99,TXN-000099,1,2024-12-27 15:58:36,,EWALLET,5,78.91,6.31,0.0,85.22,2024-12-27 15:58:36
100,TXN-000100,1,2024-11-05 19:16:51,259,EWALLET,9,122.54,9.4,5.05,126.89,2024-11-05 19:16:51
101,TXN-000101,1,2024-11-08 17:47:49,,EWALLET,14,99.36,7.86,1.1,106.12,2024-11-08 17:47:49
102,TXN-000102,1,2024-06-28 13:39:47,237,CASH,8,220.05,17.62,0.0,237.67,2024-06-28 13:39:47
103,TXN-000103,1,2024-02-20 17:27:37,143,CARD,7,145.96,11.49,2.4,155.05,2024-02-20 17:27:37
104,TXN-000104,1,2025-03-30 13:57:33,438,EWALLET,14,138.13,10.46,7.34,141.25,2025-03-30 13:57:33
105,TXN-000105,1,2025-03-25 12:34:02,22,EWALLET,14,232.75,18.29,4.07,246.97,2025-03-25 12:34:02
106,TXN-000106,1,2025-03-19 15:57:46,,CASH,13,353.02,28.24,0.0,381.26,2025-03-19 15:57:46
107,TXN-000107,1,2024-03-21 14:48:51,,EWALLET,2,48.62,3.89,0.0,52.51,2024-03-21 14:48:51
108,TXN-000108,1,2024-01-08 15:55:38,496,CARD,4,49.48,3.96,0.0,53.44,2024-01-08 15:55:38
109,TXN-000109,1,2024-03-02 17:17:51,358,EWALLET,11,182.87,14.1,6.69,190.28,2024-03-02 17:17:51
110,TXN-000110,1,2025-01-21 17:10:39,368,CARD,8,223.75,17.91,0.0,241.66,2025-01-21 17:10:39
111,TXN-000111,1,2025-05-18 20:47:42,125,EWALLET,13,406.5,29.59,36.83,399.26,2025-05-18 20:47:42
112,TXN-000112,1,2024-07-22 14:06:20,42,CARD,9,187.92,15.04,0.0,202.96,2024-07-22 14:06:20
113,TXN-000113,1,2024-02-25 12:52:03,43,CARD,18,510.98,38.65,27.9,521.73,2024-02-25 12:52:03
114,TXN-000114,1,2025-02-28 15:32:20,,CARD,9,328.51,26.06,2.74,351.83,2025-02-28 15:32:20
115,TXN-000115,1,2025-05-12 11:27:49,64,EWALLET,7,182.47,14.28,4.12,192.63,2025-05-12 11:27:49
116,TXN-000116,1,2025-01-09 20:52:23,64,CARD,16,277.48,21.98,2.61,296.85,2025-01-09 20:52:23
117,TXN-000117,1,2025-05-12 15:47:56,326,CARD,13,258.84,20.04,8.42,270.46,2025-05-12 15:47:56
118,TXN-000118,1,2024-09-25 12:35:14,,CARD,5,37.59,2.96,0.64,39.91,2024-09-25 12:35:14
119,TXN-000119,1,2025-05-27 17:26:43,489,CARD,6,75.55,6.05,0.0,81.6,2025-05-27 17:26:43
120,TXN-000120,1,2025-03-10 15:16:27,53,CARD,4,64.92,5.2,0.0,70.12,2025-03-10 15:16:27
121,TXN-000121,1,2024-11-29 17:04:36,178,CARD,6,176.26,14.09,0.0,190.35,2024-11-29 17:04:36
122,TXN-000122,1,2024-08-22 17:09:00,,EWALLET,8,92.87,7.43,0.0,100.3,2024-08-22 17:09:00
123,TXN-000123,1,2025-05-23 16:02:04,5,CARD,7,155.97,12.05,5.36,162.66,2025-05-23 16:02:04
124,TXN-000124,1,2024-03-08 08:55:58,258,CARD,15,267.7,20.77,8.21,280.26,2024-03-08 08:55:58
125,TXN-000125,1,2024-09-22 11:03:46,,CARD,11,190.49,14.71,6.51,198.69,2024-09-22 11:03:46
126,TXN-000126,1,2024-03-31 17:03:06,,EWALLET,17,232.05,17.57,12.56,237.06,2024-03-31 17:03:06
127,TXN-000127,1,2024-07-17 12:36:12,57,CARD,15,233.09,18.33,3.9,247.52,2024-07-17 12:36:12
128,TXN-000128,1,2025-02-09 14:08:00,,CARD,7,205.46,14.92,19.04,201.34,2025-02-09 14:08:00
129,TXN-000129,1,2025-02-10 17:32:23,,EWALLET,6,59.19,4.74,0.0,63.93,2025-02-10 17:32:23
130,TXN-000130,1,2025-05-05 14:51:55,89,CARD,9,136.33,10.9,0.0,147.23,2025-05-05 14:51:55
131,TXN-000131,1,2024-11-06 13:56:04,,CASH,14,281.48,22.51,0.16,303.83,2024-11-06 13:56:04
132,TXN-000132,1,2024-11-07 16:56:11,,CASH,19,226.63,18.13,0.0,244.76,2024-11-07 16:56:11
133,TXN-000133,1,2024-04-16 13:00:05,480,EWALLET,15,291.55,23.22,1.24,313.53,2024-04-16 13:00:05
134,TXN-000134,1,2024-02-08 08:40:28,,CARD,5,63.42,5.08,0.0,68.5,2024-02-08 08:40:28
135,TXN-000135,1,2024-04-29 22:39:07,318,EWALLET,13,269.57,21.3,3.27,287.6,2024-04-29 22:39:07
136,TXN-000136,1,2025-02-03 14:15:22,,CARD,5,87.93,7.04,0.0,94.97,2025-02-03 14:15:22
137,TXN-000137,1,2024-11-07 19:32:33,,CARD,7,183.44,14.46,2.62,195.28,2024-11-07 19:32:33
138,TXN-000138,1,2024-04-05 18:50:55,152,EWALLET,12,254.69,20.32,0.6,274.41,2024-04-05 18:50:55
139,TXN-000139,1,2024-01-27 17:53:18,145,EWALLET,9,225.09,16.96,13.14,228.91,2024-01-27 17:53:18
140,TXN-000140,1,2024-08-12 13:56:28,159,CARD,4,39.8,3.19,0.0,42.99,2024-08-12 13:56:28
141,TXN-000141,1,2024-08-11 08:51:56,310,CARD,21,490.14,37.67,19.39,508.42,2024-08-11 08:51:56
142,TXN-000142,1,2024-07-09 17:39:45,,EWALLET,15,252.52,19.89,3.94,268.47,2024-07-09 17:39:45
143,TXN-000143,1,2025-04-24 12:17:56,236,CASH,13,287.18,22.86,1.37,308.67,2025-04-24 12:17:56
144,TXN-000144,1,2024-06-03 16:37:36,285,CARD,6,70.1,5.61,0.0,75.71,2024-06-03 16:37:36
145,TXN-000145,1,2025-01-13 10:36:22,,CARD,16,279.91,22.32,0.81,301.42,2025-01-13 10:36:22
146,TXN-000146,1,2024-11-30 17:29:59,428,EWALLET,11,122.53,9.8,0.09,132.24,2024-11-30 17:29:59
147,TXN-000147,1,2024-06-23 12:21:37,,CARD,8,245.29,16.4,40.32,221.37,2024-06-23 12:21:37
148,TXN-000148,1,2025-02-07 11:03:39,15,CASH,11,220.66,17.53,1.48,236.71,2025-02-07 11:03:39
149,TXN-000149,1,2025-02-03 19:25:31,,CASH,8,232.77,18.62,0.0,251.39,2025-02-03 19:25:31
150,TXN-000150,1,2024-05-18 12:37:58,228,EWALLET,12,261.16,20.12,9.66,271.62,2024-05-18 12:37:58
151,TXN-000151,1,2025-04-11 16:33:40,,CASH,3,77.86,6.22,0.06,84.02,2025-04-11 16:33:40
152,TXN-000152,1,2024-10-16 11:40:11,,CARD,6,47.25,3.79,0.0,51.04,2024-10-16 11:40:11
153,TXN-000153,1,2024-09-19 19:20:50,,CARD,14,231.75,18.54,0.0,250.29,2024-09-19 19:20:50
154,TXN-000154,1,2025-01-30 09:17:33,,CARD,9,144.7,11.41,2.1,154.01,2025-01-30 09:17:33
155,TXN-000155,1,2024-05-30 16:36:22,25,EWALLET,8,181.3,14.28,2.83,192.75,2024-05-30 16:36:22
156,TXN-000156,1,2024-12-26 13:30:43,459,EWALLET,9,139.53,11.09,0.84,149.78,2024-12-26 13:30:43
157,TXN-000157,1,2025-05-14 13:08:29,,CARD,7,190.87,14.77,6.24,199.4,2025-05-14 13:08:29
158,TXN-000158,1,2024-11-27 14:14:41,,CASH,13,345.96,27.67,0.0,373.63,2024-11-27 14:14:41
159,TXN-000159,1,2024-06-03 20:52:44,313,CARD,7,102.25,8.02,2.06,108.21,2024-06-03 20:52:44
160,TXN-000160,1,2024-05-31 15:02:29,310,CARD,9,132.7,10.57,0.48,142.79,2024-05-31 15:02:29
161,TXN-000161,1,2025-02-05 18:30:44,,CARD,6,131.35,10.47,0.32,141.5,2025-02-05 18:30:44
162,TXN-000162,1,2024-11-08 10:00:25,,CARD,5,70.61,5.47,2.3,73.78,2024-11-08 10:00:25
163,TXN-000163,1,2025-04-05 09:47:08,102,EWALLET,14,374.94,28.56,17.99,385.51,2025-04-05 09:47:08
164,TXN-000164,1,2024-06-06 15:56:33,449,CARD,15,266.2,21.12,2.1,285.22,2024-06-06 15:56:33
165,TXN-000165,1,2024-04-17 11:46:22,,CARD,11,133.89,10.71,0.0,144.6,2024-04-17 11:46:22
166,TXN-000166,1,2024-07-24 17:40:48,494,CARD,17,234.13,18.73,0.0,252.86,2024-07-24 17:40:48
167,TXN-000167,1,2024-08-11 08:33:07,244,CARD,7,144.09,11.04,6.07,149.06,2024-08-11 08:33:07
168,TXN-000168,1,2024-05-31 17:29:55,454,CARD,6,155.52,12.44,0.0,167.96,2024-05-31 17:29:55
169,TXN-000169,1,2024-04-18 17:09:06,309,CASH,11,295.8,23.15,6.45,312.5,2024-04-18 17:09:06
170,TXN-000170,1,2024-07-23 17:44:27,,CARD,4,145.38,11.21,5.24,151.35,2024-07-23 17:44:27
171,TXN-000171,1,2024-07-31 12:42:29,268,CASH,11,140.68,10.94,3.87,147.75,2024-07-31 12:42:29
172,TXN-000172,1,2024-02-11 20:22:04,,CASH,9,183.5,14.03,8.04,189.49,2024-02-11 20:22:04
173,TXN-000173,1,2025-03-15 15:59:51,,CARD,8,140.6,11.19,0.66,151.13,2025-03-15 15:59:51
174,TXN-000174,1,2024-09-12 13:57:18,312,CASH,4,90.1,7.18,0.37,96.91,2024-09-12 13:57:18
175,TXN-000175,1,2024-01-21 22:06:21,300,CARD,16,301.66,23.08,13.22,311.52,2024-01-21 22:06:21
176,TXN-000176,1,2025-04-05 12:11:36,434,CARD,20,196.16,14.91,9.76,201.31,2025-04-05 12:11:36
177,TXN-000177,1,2024-02-22 13:59:55,9,EWALLET,10,224.29,17.66,3.63,238.32,2024-02-22 13:59:55
178,TXN-000178,1,2024-12-05 21:24:39,94,CASH,4,72.76,5.82,0.0,78.58,2024-12-05 21:24:39
179,TXN-000179,1,2024-09-09 14:23:06,161,CARD,7,109.51,8.54,2.81,115.24,2024-09-09 14:23:06
180,TXN-000180,1,2024-10-12 19:00:28,,CARD,11,218.43,16.44,12.99,221.88,2024-10-12 19:00:28
181,TXN-000181,1,2024-09-19 16:37:28,178,CARD,7,141.98,11.35,0.0,153.33,2024-09-19 16:37:28
182,TXN-000182,1,2024-07-29 16:59:50,86,CARD,2,50.86,4.07,0.0,54.93,2024-07-29 16:59:50
183,TXN-000183,1,2025-05-16 14:10:22,,CARD,9,171.33,13.43,3.32,181.44,2025-05-16 14:10:22
184,TXN-000184,1,2025-01-01 12:20:02,385,EWALLET,16,260.37,20.84,0.0,281.21,2025-01-01 12:20:02
185,TXN-000185,1,2024-08-29 14:30:52,365,CARD,13,237.58,18.28,9.01,246.85,2024-08-29 14:30:52
186,TXN-000186,1,2024-01-05 20:22:46,265,CARD,9,255.78,20.37,1.16,274.99,2024-01-05 20:22:46
187,TXN-000187,1,2024-03-04 14:01:03,112,CARD,5,148.89,11.68,2.85,157.72,2024-03-04 14:01:03
188,TXN-000188,1,2024-02-19 16:45:07,120,CARD,17,314.51,24.38,9.83,329.06,2024-02-19 16:45:07
189,TXN-000189,1,2024-03-12 18:31:38,239,CASH,11,256.89,20.55,0.0,277.44,2024-03-12 18:31:38
190,TXN-000190,1,2024-07-03 15:08:02,108,EWALLET,11,247.47,19.5,3.9,263.07,2024-07-03 15:08:02
191,TXN-000191,1,2024-03-09 14:49:14,242,CARD,8,137.05,10.97,0.0,148.02,2024-03-09 14:49:14
192,TXN-000192,1,2024-10-29 09:36:20,,CARD,15,231.43,18.52,0.0,249.95,2024-10-29 09:36:20
193,TXN-000193,1,2024-03-12 12:07:26,185,CARD,7,119.19,9.32,2.62,125.89,2024-03-12 12:07:26
194,TXN-000194,1,2024-01-27 13:03:18,82,CARD,18,330.62,24.76,21.15,334.23,2024-01-27 13:03:18
195,TXN-000195,1,2024-11-18 15:47:03,,EWALLET,7,196.58,15.72,0.0,212.3,2024-11-18 15:47:03
196,TXN-000196,1,2025-04-26 16:29:34,,EWALLET,13,269.26,20.56,12.3,277.52,2025-04-26 16:29:34
