po_line_id,po_id,line_number,product_id,ordered_qty,received_qty,unit_cost,line_base_cost,discount_pct,tax_rate_pct,created_at,po_number,order_date,expected_delivery_date,actual_delivery_date,status,currency_code,store_id,created_by,supplier_id,supplier_name,supplier_code,product_sku,product_name,category
1,1,1,119,91,86,2.87,261.17,0.0,8.0,2024-01-01 09:00:00,PO-00001,2024-01-01,2024-01-06,2024-01-08,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00119,FrostyFoods Frozen Peas,Frozen
2,1,2,114,70,64,19.1,1337.0,0.0,8.0,2024-01-01 14:00:00,PO-00001,2024-01-01,2024-01-06,2024-01-08,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00114,FrostyFoods Frozen Pizza,Frozen
3,1,3,43,17,16,32.91,559.47,0.0,8.0,2024-01-01 13:00:00,PO-00001,2024-01-01,2024-01-06,2024-01-08,SENT,SGD,1,procurement.mgr,2,Evergreen Produce Importers,EVERGR-002,SKU-00043,SeaHarvest Salmon Fillet,Seafood
4,2,1,71,26,25,18.31,476.06,2.0,8.0,2024-01-01 17:00:00,PO-00002,2024-01-01,2024-01-04,2024-01-05,RECEIVED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00071,ButcherSelect Pork Chops,Meat
5,2,2,84,71,68,16.11,1143.81,0.0,8.0,2024-01-01 13:00:00,PO-00002,2024-01-01,2024-01-04,2024-01-05,RECEIVED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00084,ArcticFresh Fish Fillets,Frozen
6,2,3,83,37,35,14.16,523.92,3.0,8.0,2024-01-01 09:00:00,PO-00002,2024-01-01,2024-01-04,2024-01-05,RECEIVED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00083,SeaHarvest Prawns,Seafood
7,2,4,148,185,176,1.74,321.9,0.0,8.0,2024-01-01 13:00:00,PO-00002,2024-01-01,2024-01-04,2024-01-05,RECEIVED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00148,SnackTime Trail Mix,Snacks
8,2,5,54,33,30,14.08,464.64,0.0,8.0,2024-01-01 10:00:00,PO-00002,2024-01-01,2024-01-04,2024-01-05,RECEIVED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00054,ButcherSelect Chicken Breast,Meat
9,2,6,30,97,89,8.06,781.82,0.0,8.0,2024-01-01 10:00:00,PO-00002,2024-01-01,2024-01-04,2024-01-05,RECEIVED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00030,DailyBake Muffins,Bakery
10,2,7,138,91,88,33.63,3060.33,3.0,8.0,2024-01-01 17:00:00,PO-00002,2024-01-01,2024-01-04,2024-01-05,RECEIVED,SGD,1,inventory.bot,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00138,BlueOcean Fish Fingers,Seafood
11,3,1,104,191,173,5.57,1063.87,0.0,8.0,2024-01-02 15:00:00,PO-00003,2024-01-02,2024-01-06,2024-01-08,CLOSED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00104,ThirstQuench Apple Juice,Beverages
12,3,2,131,77,70,5.54,426.58,0.0,8.0,2024-01-02 09:00:00,PO-00003,2024-01-02,2024-01-06,2024-01-08,CLOSED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00131,ArcticFresh Frozen Pizza,Frozen
13,3,3,88,79,78,23.62,1865.98,3.0,8.0,2024-01-02 17:00:00,PO-00003,2024-01-02,2024-01-06,2024-01-08,CLOSED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00088,SeaHarvest Squid Rings,Seafood
14,3,4,58,84,79,12.77,1072.68,5.0,8.0,2024-01-02 08:00:00,PO-00003,2024-01-02,2024-01-06,2024-01-08,CLOSED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00058,GardenFresh Tomatoes,Produce
15,3,5,115,77,76,1.46,112.42,0.0,8.0,2024-01-02 13:00:00,PO-00003,2024-01-02,2024-01-06,2024-01-08,CLOSED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00115,GoldenLoaf Muffins,Bakery
16,3,6,24,194,184,7.94,1540.36,0.0,8.0,2024-01-02 15:00:00,PO-00003,2024-01-02,2024-01-06,2024-01-08,CLOSED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00024,CoolSip Green Tea,Beverages
17,3,7,28,66,65,0.93,61.38,5.0,8.0,2024-01-02 09:00:00,PO-00003,2024-01-02,2024-01-06,2024-01-08,CLOSED,SGD,1,store.manager,9,Fresh & Crisp Snacks,FRESHC-009,SKU-00028,CitrusBurst Cola,Beverages
18,4,1,9,62,57,18.44,1143.28,2.0,8.0,2024-01-02 14:00:00,PO-00004,2024-01-02,2024-01-12,2024-01-15,SENT,SGD,1,procurement.mgr,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00009,PrimeChoice Pork Chops,Meat
19,4,2,49,248,242,4.49,1113.52,3.0,8.0,2024-01-02 08:00:00,PO-00004,2024-01-02,2024-01-12,2024-01-15,SENT,SGD,1,procurement.mgr,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00049,HappySnacks Potato Chips,Snacks
20,4,3,84,100,93,16.52,1652.0,0.0,8.0,2024-01-02 13:00:00,PO-00004,2024-01-02,2024-01-12,2024-01-15,SENT,SGD,1,procurement.mgr,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00084,ArcticFresh Fish Fillets,Frozen
21,4,4,73,25,23,11.21,280.25,2.0,8.0,2024-01-02 12:00:00,PO-00004,2024-01-02,2024-01-12,2024-01-15,SENT,SGD,1,procurement.mgr,1,Lion City Foods Pte Ltd,LIONCI-001,SKU-00073,SeaHarvest Fish Fingers,Seafood
22,5,1,41,116,112,9.27,1075.32,0.0,8.0,2024-01-08 16:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00041,SparklePro Paper Towels,Household
23,5,2,75,31,30,11.31,350.61,0.0,8.0,2024-01-08 08:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00075,FrostyFoods Frozen Pizza,Frozen
24,5,3,22,61,57,4.26,259.86,0.0,8.0,2024-01-08 15:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00022,HarmonyCare Hand Soap,Personal Care
25,5,4,144,54,50,19.09,1030.86,0.0,8.0,2024-01-08 12:00:00,PO-00005,2024-01-08,2024-01-22,2024-01-24,RECEIVED,SGD,1,system.auto,2,Evergreen Produce Importers,EVERGR-002,SKU-00144,MeadowFresh Yogurt,Dairy
