txn_line_id,txn_id,txn_number,line_number,product_id,product_sku,product_name,category,base_unit_price,sale_unit_price,quantity,line_base_amount,line_sale_amount,line_discount_amount,tax_rate_pct,tax_amount,promotion_code,created_at
1,1,TXN-000001,1,76,SKU-00076,PrimeChoice Sausages,Meat,52.38,52.38,2,104.76,104.76,0.0,8.0,8.38,,2024-09-15 13:15:12
2,1,TXN-000001,2,143,SKU-00143,PureGlow Toothpaste,Personal Care,17.09,14.53,1,17.09,14.53,2.56,8.0,1.16,MEMBER15,2024-09-15 13:15:12
3,1,TXN-000001,3,8,SKU-00008,PureGlow Toothpaste,Personal Care,18.08,18.08,2,36.16,36.16,0.0,8.0,2.89,,2024-09-15 13:15:12
4,1,TXN-000001,4,130,SKU-00130,ButcherSelect Minced Beef,Meat,41.12,41.12,2,82.24,82.24,0.0,8.0,6.58,,2024-09-15 13:15:12
5,2,TXN-000002,1,31,SKU-00031,FrostyFoods Frozen Peas,Frozen,28.96,27.51,1,28.96,27.51,1.45,8.0,2.2,BULK5,2024-04-30 10:49:16
6,2,TXN-000002,2,20,SKU-00020,FarmHouse Yogurt,Dairy,26.18,26.18,1,26.18,26.18,0.0,8.0,2.09,,2024-04-30 10:49:16
7,2,TXN-000002,3,58,SKU-00058,GardenFresh Tomatoes,Produce,16.74,15.9,4,66.96,63.6,3.36,8.0,5.09,BULK5,2024-04-30 10:49:16
8,2,TXN-000002,4,112,SKU-00112,CleanHome Laundry Detergent,Household,26.45,26.45,1,26.45,26.45,0.0,8.0,2.12,,2024-04-30 10:49:16
9,2,TXN-000002,5,52,SKU-00052,SnackTime Potato Chips,Snacks,32.98,32.98,1,32.98,32.98,0.0,8.0,2.64,,2024-04-30 10:49:16
10,2,TXN-000002,6,11,SKU-00011,CleanHome Paper Towels,Household,14.55,14.55,1,14.55,14.55,0.0,8.0,1.16,,2024-04-30 10:49:16
11,3,TXN-000003,1,97,SKU-00097,GreenFields Apples,Produce,5.37,5.37,1,5.37,5.37,0.0,8.0,0.43,,2025-04-28 14:08:49
12,3,TXN-000003,2,35,SKU-00035,PureGlow Hand Soap,Personal Care,31.36,29.79,2,62.72,59.58,3.14,8.0,4.77,BULK5,2025-04-28 14:08:49
13,3,TXN-000003,3,77,SKU-00077,GreenFields Bananas,Produce,14.99,14.99,1,14.99,14.99,0.0,8.0,1.2,,2025-04-28 14:08:49
14,3,TXN-000003,4,80,SKU-00080,CrunchyBite Potato Chips,Snacks,4.51,4.51,4,18.04,18.04,0.0,8.0,1.44,,2025-04-28 14:08:49
15,3,TXN-000003,5,82,SKU-00082,CrunchyBite Trail Mix,Snacks,3.36,3.19,4,13.44,12.76,0.68,8.0,1.02,BULK5,2025-04-28 14:08:49
16,4,TXN-000004,1,100,SKU-00100,SnackTime Biscuits,Snacks,29.48,29.48,4,117.92,117.92,0.0,8.0,9.43,,2024-01-01 09:30:09
17,4,TXN-000004,2,71,SKU-00071,ButcherSelect Pork Chops,Meat,32.36,32.36,1,32.36,32.36,0.0,8.0,2.59,,2024-01-01 09:30:09
18,5,TXN-000005,1,95,SKU-00095,FarmHouse Yogurt,Dairy,6.68,6.35,3,20.04,19.05,0.99,8.0,1.52,BULK5,2024-09-24 12:53:05
19,5,TXN-000005,2,145,SKU-00145,GreenFields Tomatoes,Produce,1.24,1.24,4,4.96,4.96,0.0,8.0,0.4,,2024-09-24 12:53:05
20,5,TXN-000005,3,143,SKU-00143,PureGlow Toothpaste,Personal Care,17.09,16.24,2,34.18,32.48,1.7,8.0,2.6,BULK5,2024-09-24 12:53:05
21,6,TXN-000006,1,25,SKU-00025,PrimeChoice Minced Beef,Meat,16.72,16.72,1,16.72,16.72,0.0,8.0,1.34,,2024-04-15 15:26:18
22,6,TXN-000006,2,23,SKU-00023,FrostyFoods Frozen Peas,Frozen,16.85,16.85,3,50.55,50.55,0.0,8.0,4.04,,2024-04-15 15:26:18
23,6,TXN-000006,3,19,SKU-00019,FarmHouse Butter,Dairy,10.15,10.15,2,20.3,20.3,0.0,8.0,1.62,,2024-04-15 15:26:18
24,6,TXN-000006,4,28,SKU-00028,CitrusBurst Cola,Beverages,1.25,1.19,4,5.0,4.76,0.24,8.0,0.38,BULK5,2024-04-15 15:26:18
25,6,TXN-000006,5,121,SKU-00121,GardenFresh Apples,Produce,7.48,7.48,4,29.92,29.92,0.0,8.0,2.39,,2024-04-15 15:26:18
26,6,TXN-000006,6,58,SKU-00058,GardenFresh Tomatoes,Produce,16.74,16.74,4,66.96,66.96,0.0,8.0,5.36,,2024-04-15 15:26:18
27,7,TXN-000007,1,67,SKU-00067,SeaHarvest Prawns,Seafood,23.9,23.9,2,47.8,47.8,0.0,8.0,3.82,,2024-10-17 19:55:05
